Title,Author(s),Publisher,Year of Publication,ISBN-13 (or ISBN-10),DDC,Status,Date Added,IDtag,class1,class2,class3,Description,DescSrc,Background,Foreground
The Awakening,Chopin,,1899,978-1514639641,813,,01-11-20,2002,fiction,classics,,"The Awakening charts Edna Pontellier's journey of self-discovery. The time spent with a younger friend on a summer holiday on Grand Isle in Lousiana unlocks a feeling in her that she can't close away again. On returning to her family home in New Orleans, she starts to transition from unthinking housewife and mother into something freer and more confident, although this doesn't meet with the full approval of the society she's a part of.",standardebooks.org,firebrick,white
Little Fires Everywhere,Ng,Penguin Books,2017,9780735224315,813,,01-11-20,2003,fiction,historical-fiction,,"In Shaker Heights, a placid, progressive suburb of Cleveland, everything is planned - from the layout of the winding roads, to the colors of the houses, to the successful lives its residents will go on to lead.  And no one embodies this spirit more than Elena Richardson, whose guiding principle is playing by the rules.  Enter Mia Warren - an enigmatic artist and single mother - who arrives in this idyllic bubble with her teenage daughter, Pearl, and a disregard for the status quo that threatens to upend this carefully ordered community.  Suspicious of Mia and her motives, Elena is determined to uncover the secrets in Mia's past.  But her obsession will come at unexpected and devastating costs.",Book Back Cover,seagreen,white
Dinner at the Homesick Restaurant,Tyler,"Alfred A. Knopf, Inc.",1983,0-394-52381-4,813,,12-22-20,2007,fiction,,,"Pearl Tull is nearing the end of her life but not her memory. It was a Sunday night in 1944 when her husband left the little row house on Baltimore's Calvert Street, abandoning Pearl to raise their three children alone: Jenny, high-spirited and determined, nurturing to strangers but distant to those she loves; the oldest son, Cody, a wild and incorrigible youth possessed by the lure of power and money; and sweet and clumsy Ezra, Pearl's favorite, who never stops yearning for the ""perfect"" family that could never be his own. Now grown, they have gathered together again - with anger, with hope, and with a beautiful, harsh, and dazzling story to tell",Book Back Cover,sienna,wheat
Play It As It Lays,Didion,FSG,1970,978-0-374-52994-9,813,,12-22-20,2008,fiction,historical-fiction,,"A ruthless dissection of American life in the late 1960s, Joan Didion's Play it as it Lays captures the mood of an entire generation, plumbing the emptiness and ennui of a seemingly bankrupt society in spare sentences that scour and disturb.  Set in the moral limbos of Hollywood, Las Vegas, and the Mojave Desert, Play it as it Lays remains, more than 40 years after its original publication, a profoundly unsettling novel, riveting in its exploration of a woman and a society in crisis, stunning in the still-startling intensity of its prose.",Book Back Cover,lightcoral,black
The Master Butchers Singing Club,Erdrich,Harper Perennial,2005,978-0-06-083705-1,813,,12-22-20,2009,fiction,historical-fiction,,"Having survived World War I, Fidelis Waldvogel returns to his quiet German village and marries the pregnant widow of his best friend, killed in action.  With a suitcase full of sausages and a master butcher's precious knife set, Fidelis sets out for America.  In Argus, North Dakota, he builds a business, a home for his family - which includes Eva and four sons - and a singing club consisting of the best voices in town.  When the Old World meets the New - in the person of Delphine Watzka - the great adventures of Fidelis's life begins.  Delphine meets Eva and is enchanted.  She meets Fidelis, and the ground trembles.  These momentous encounters will determine the course of Delphine's life, and the trajectory of this brilliant novel.",Book Back Cover,#222,white
Salt Dancers,Hegi,Touchstone,2007,978-0-684-84482-4,823,,12-22-20,2010,fiction,,,"Salt Dances is the dramatic story of one woman's redemptive journey back to her childhood through layers of memory and longing.  Unmarried and pregnant at 41, architect Julia Ives returns to her home in the Pacific Northwest, determined to understand her family's troubled past before her child is born.  Haunted by memories of betrayal and abandonment, she confronts the father she has not seen in 21 years.",Book Back Cover,grey,navajowhite
Salvation,Nevai,TinHouse Books,2008,0-9794198-3-2,813,,12-22-20,2011,fiction,,,"Meet Crane Cavanaugh, budding scientist.  Raised in poverty in rural Iowa by depraved adults who've given up the life of charlatans on the gospel circuit, the unsinkable Crane traces her experiences from disfiguration in the womb to well-deserved elevation in the halls of academe.  When her family is forced to leave its squatters shack, Crane is separated from her sister, brother, and parents.  What follows is a series of fateful encounters: some kind, some cruel - each a new world with its own dangers and limitations.",Book Back Cover,lightskyblue,brown
The Bohemian Flats,Ellis,University of Minnesota Press,2014,978-0-8166-9220-0,813,,12-22-20,2012,fiction,historical-fiction,,"Shell shock, as it was called, lands Raymond Kaufmann in a London hospital, a victim of the war but also of his own efforts to emigrate from Germany and build a new life in America. While his recovery eludes him, his memories return to the Flats, a milling community on the Mississippi River in Minneapolis, where he and his brother Albert sought some respite from the oppressive hand of their older brother, now master of the family farm and brewery.  In Minnesota the two brothers remake their lives according to their own principles and wishes - until the war makes their German heritage inescapable.",Book Back Cover,burlywood,saddlebrown
Letters to Oma,Gurasich,Chaparral,1989,0-87565-037-6,833,,01-03-21,2100,fiction,historical-fiction,,"When fifteen-year-old Christina Eudora Van Scholls learns that her family will leave Germany for Texas, her greatest sorrow is leaving behind her beloved grandmother.  And so, in a series of letters, she takes ""Oma"" on this great adventure with her family - and takes us as readers.  Sometimes the letters are dark with discouragement, for the Von Scholls find, as did many German-Texas families, that the Society for the Protection of German Immigrants, known as the Adelsverein, was unable to fulfill its promises of land, housing, horses, and farm implements.",Book Back Cover,khaki,black
Lucky in the Corner,Anshaw,Mariner Books,2003,978-0-618-34070-5,813,,01-03-21,2101,fiction,,,"Nora and Fern's relationship as mother and daughter is a tumble of love and mistrust.  To Nora, her daughter is an enigma - at the same time wonderful and unfindable.  Fern sees her mother as treacherous - for busting up their family to move in with her lover, Jeanne.  As their lives become complicated by the arrivals of a bike-messenger boyfriend for Fern, a shadowy affair for Nora, and a baby in need of a family, this mother and daughter find their way onto a fresh footing with each other.",,powderblue,darkred
Lucky Us,Bloom,Random House,2015,978-0-8129-7894-0,813,,01-03-21,2102,fiction,historical-fiction,,"Disappointd by their families, half sisters Iris, the hopeful star, and Eva, the sidekick, journey through 1940s America in search of fame and fortune.  Iris's ambitions take the pair across America, from small-town Ohio to sensuous Hollywood, and to the jazz clubs and golden mansions of Long Island.  With their friends in high and low places, Iris and Eva stumble and shine through a landscape of big dreams, scandals, betrayals, and war.",Book Back Cover,darkslategrey,white
The Cherry Orchard,Chekhov,"Dover Publications, Inc.",1991,0-486-26682-6,891,,,1006,fiction,russian,,"The Cherry Orchard was first produced by the Moscow Art Theatre on Chekhov's last birthday, January 17, 1904.  Since that time it has become one of the most critically admired and performed plays in the Western world, a high comedy whose principal theme, the passing of the old semifeudal order, is symbolized in the sale of the cherry orchard owned by Madame Ranevsky.",Book Back Cover,darkseagreen,black
